provider_code,provider_name,region,total_attendances,seen_within_4h,seen_over_4h,pct_within_4h,pct_within_4h_calc,pct_within_4h_percent,source_file,month_text,month_date
RC9,Bedfordshire Hospitals NHS Foundation Trust,NHS England East Of England ,24959.0,18333.0,6626.0,0.734524620377419,0.734524620377419,73.45,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RGT,Cambridge University Hospitals NHS Foundation Trust,NHS England East Of England ,16379.0,12088.0,4291.0,0.7380181940289395,0.7380181940289395,73.8,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RWH,East And North Hertfordshire NHS Trust,NHS England East Of England ,17105.0,12510.0,4595.0,0.7313650979245835,0.7313650979245835,73.14,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RDE,East Suffolk And North Essex NHS Foundation Trust,NHS England East Of England ,26780.0,20998.0,5782.0,0.7840926064227035,0.7840926064227035,78.41,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RY4,Hertfordshire Community NHS Trust,NHS England East Of England ,1182.0,1145.0,37.0,0.9686971235194586,0.9686971235194586,96.87,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
DT301,Herts Urgent Care (Ascots Lane),NHS England East Of England ,2137.0,2054.0,83.0,0.9611605053813758,0.9611605053813758,96.12,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RGP,James Paget University Hospitals NHS Foundation Trust,NHS England East Of England ,8818.0,5574.0,3244.0,0.6321161261056929,0.6321161261056929,63.21,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RAJ,Mid And South Essex NHS Foundation Trust,NHS England East Of England ,33512.0,22433.0,11079.0,0.6694020052518501,0.6694020052518501,66.94,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RD8,Milton Keynes University Hospital NHS Foundation Trust,NHS England East Of England ,13695.0,10994.0,2701.0,0.8027747353048558,0.8027747353048558,80.28,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,NHS England East Of England ,20322.0,16299.0,4023.0,0.8020372010628876,0.8020372010628876,80.2,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RGN,North West Anglia NHS Foundation Trust,NHS England East Of England ,19167.0,13176.0,5991.0,0.687431522930036,0.687431522930036,68.74,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
Y02428,Putnoe Walk In Centre,NHS England East Of England ,2729.0,2729.0,0.0,1.0,1.0,100.0,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RQW,The Princess Alexandra Hospital NHS Trust,NHS England East Of England ,10025.0,6831.0,3194.0,0.6813965087281796,0.6813965087281796,68.14,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",NHS England East Of England ,7816.0,4795.0,3021.0,0.6134851586489253,0.6134851586489253,61.35,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RWG,West Hertfordshire Teaching Hospitals NHS Trust,NHS England East Of England ,16203.0,13666.0,2537.0,0.8434240572733445,0.8434240572733445,84.34,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RGR,West Suffolk NHS Foundation Trust,NHS England East Of England ,8418.0,6848.0,1570.0,0.8134948918983131,0.8134948918983131,81.35,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
G0Q0L,Barking Hospital Utc,NHS England London,2768.0,2755.0,13.0,0.9953034682080925,0.9953034682080925,99.53,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",NHS England London,29723.0,23330.0,6393.0,0.7849140396326078,0.7849140396326078,78.49,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
R1H,Barts Health NHS Trust,NHS England London,44402.0,31091.0,13311.0,0.7002162064771857,0.7002162064771857,70.02,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
AD913,Beckenham Beacon Ucc,NHS England London,4000.0,3951.0,49.0,0.98775,0.98775,98.78,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RYX,Central London Community Healthcare NHS Trust,NHS England London,12931.0,12540.0,391.0,0.9697625860335628,0.9697625860335628,96.98,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,NHS England London,25589.0,20936.0,4653.0,0.8181640548673258,0.8181640548673258,81.82,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RJ6,Croydon Health Services NHS Trust,NHS England London,17535.0,13875.0,3660.0,0.7912745936698032,0.7912745936698032,79.13,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RVR,Epsom And St Helier University Hospitals NHS Trust,NHS England London,13088.0,9670.0,3418.0,0.7388447432762836,0.7388447432762836,73.88,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RJ1,Guy's And St Thomas' NHS Foundation Trust,NHS England London,17442.0,13476.0,3966.0,0.7726178190574475,0.7726178190574475,77.26,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
K6K0R,Harold Wood Polyclinic Utc,NHS England London,2491.0,2481.0,10.0,0.9959855479727018,0.9959855479727018,99.6,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RQX,Homerton Healthcare NHS Foundation Trust,NHS England London,10777.0,8837.0,1940.0,0.8199870093718103,0.8199870093718103,82.0,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RYJ,Imperial College Healthcare NHS Trust,NHS England London,23149.0,17404.0,5745.0,0.7518251328351117,0.7518251328351117,75.18,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RJZ,King's College Hospital NHS Foundation Trust,NHS England London,25627.0,18731.0,6896.0,0.7309088071174933,0.7309088071174933,73.09,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RAX,Kingston And Richmond NHS Foundation Trust,NHS England London,15151.0,11543.0,3608.0,0.7618639033727147,0.7618639033727147,76.19,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RJ2,Lewisham And Greenwich NHS Trust,NHS England London,24609.0,16109.0,8500.0,0.6545979113332521,0.6545979113332521,65.46,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
R1K,London North West University Healthcare NHS Trust,NHS England London,28542.0,21880.0,6662.0,0.7665895872748931,0.7665895872748931,76.66,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RP6,Moorfields Eye Hospital NHS Foundation Trust,NHS England London,5987.0,5814.0,173.0,0.9711040587940538,0.9711040587940538,97.11,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RAT,North East London NHS Foundation Trust,NHS England London,1730.0,1667.0,63.0,0.9635838150289018,0.9635838150289018,96.36,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RAL,Royal Free London NHS Foundation Trust,NHS England London,41463.0,30638.0,10825.0,0.7389238598268336,0.7389238598268336,73.89,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RJ7,St George's University Hospitals NHS Foundation Trust,NHS England London,12519.0,10480.0,2039.0,0.8371275660995288,0.8371275660995288,83.71,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RAS,The Hillingdon Hospitals NHS Foundation Trust,NHS England London,12770.0,9547.0,3223.0,0.7476115896632733,0.7476115896632733,74.76,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
Y03218,The Pinn Unregistered Wic,NHS England London,889.0,889.0,0.0,1.0,1.0,100.0,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RRV,University College London Hospitals NHS Foundation Trust,NHS England London,13426.0,9597.0,3829.0,0.7148070907194994,0.7148070907194994,71.48,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
Y02147,Urgent Care Centre (Qms),NHS England London,8177.0,8044.0,133.0,0.9837348660878072,0.9837348660878072,98.37,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RKE,Whittington Health NHS Trust,NHS England London,8831.0,6212.0,2619.0,0.703431095006228,0.703431095006228,70.34,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
NL7,Assura Vertis Urgent Care Centres (Birmingham),NHS England Midlands ,3148.0,3148.0,0.0,1.0,1.0,100.0,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
8J094,Badger Ltd,NHS England Midlands ,1409.0,1409.0,0.0,1.0,1.0,100.0,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
RQ3,Birmingham Women's And Children's NHS Foundation Trust,NHS England Midlands ,4837.0,4358.0,479.0,0.9009716766590862,0.9009716766590862,90.1,April-2025-AE-by-provider-sfo2q-revised.xls,April 2025,2025-04-01
