provider_code,provider_name,total_attendances_12m,seen_within_4h_12m,months_in_data,overall_pct_within_4h
Y03218,The Pinn Unregistered Wic,11265.0,11265.0,12,100.0
Y02676,Brighton Station Health Centre,22897.0,22896.0,12,100.0
AJN,Workington Health Limited,4626.0,4626.0,12,100.0
C82038,Latham House Medical Practice,4257.0,4257.0,12,100.0
L83087,Okehampton Medical Centre,1001.0,1001.0,12,100.0
NQTE4,Summerfield Urgent Care Centre,36424.0,36424.0,12,100.0
C83023,Sleaford Medical Group,6088.0,6088.0,12,100.0
Y03007,Erdington GP Health & Wellbeing Wic,20802.0,20802.0,12,100.0
Y02428,Putnoe Walk In Centre,32021.0,32021.0,12,100.0
Y02615,South Birmingham GP Walk In Centre,63151.0,63151.0,12,100.0
