provider_code,provider_name,total_attendances_12m,seen_within_4h_12m,months_in_data,overall_pct_within_4h
RJN,East Cheshire NHS Trust,54710.0,26474.0,12,48.39
RXW,The Shrewsbury And Telford Hospital NHS Trust,160372.0,83389.0,12,52.0
RD1,Royal United Hospitals Bath NHS Foundation Trust,107136.0,62207.0,12,58.06
RWA,Hull University Teaching Hospitals NHS Trust,169370.0,99592.0,12,58.8
RX1,Nottingham University Hospitals NHS Trust,234919.0,139441.0,12,59.36
RBL,Wirral University Teaching Hospital NHS Foundation Trust,131220.0,79115.0,12,60.29
RBT,Mid Cheshire Hospitals NHS Foundation Trust,121452.0,73249.0,12,60.31
RTP,Surrey And Sussex Healthcare NHS Trust,127380.0,77208.0,12,60.61
RJR,Countess Of Chester Hospital NHS Foundation Trust,92778.0,56979.0,12,61.41
RTE,Gloucestershire Hospitals NHS Foundation Trust,165131.0,103395.0,12,62.61
